,text
1027,Please put me on the do not call.
1028,Would you please stop coming?
1029,I'm not interested in a life insurance.
1030,I don't want to do anything.
1031,Can you take me off
1032,Stop calling people. You're really annoying.
1033,"Don't call me,"
1034,I don't need life insurance
1035,"I'd like to be put on the do not call list, please."
1036,Pick my name off the list please.
1037,Every fucking day.
1038,The guy that called me this morning
1039,No interest. Goodby
1040,I don't need to get it
1041,"I'm kind of not interested,"
1042,Can you please take me off your calling list?
1043,I don't want any
1044,I don't need that to help my own financial estate.
1045,I don't need that stuff anymore.
1046,Would you take me off your calling list?
1047,So you don't have to call me more with this. So you don't have to call me more with this.
1048,Will you stop calling this number?
1049,Do not call.
1050,Could I get put on the do not call
1051,We don't need it.
1052,I'd like to learn more about your grandma's asshole
1053,bitch.
1054,I'm not interested in anything
1055,"Remove my number from your list, please."
1056,"Good, bitch, I don't give a damn who you are, bitch. Stop calling my goddamn..."
1057,Doesn't need to be called by anything. It's a business. Please don't call us number again.
1058,why you keep calling me.
1059,Is there any way y'all could take my number out this
1060,Don't call me no damn.
1061,Somebody already call me
1062,I asked you not to call me again.
1063,"Becky, please leave my number, leave my number."
1064,We wouldn't be interested in any insurance
1065,do not call again
1066,I'm not interested in any of you.
1067,I want you to take my number off.
1068,"you're a phony and a fraud, so stop calling."
1069,I'll take me off your phone list.
1070,Please don't call me any more.
1071,You guys comment 10 times a day.
1072,I don't need any senior benefits
1073,I don't appreciate this call.
1074,They were supposed to take my number and not call me anymore because there's a problem.
1075,I'm fucking shit over at my house.
1076,Can you please quick calling?
1077,Go fuck yourself!
1078,I don't want to know nothing now.
1079,Could you take my number off your
1080,"No, I'm really not interested, ma'am."
1081,What the fuck
1082,Can you take me off your
1083,I just wish you guys stop calling me just a waste of all of our time then.
1084,I'm a lot of fucking senior and go fuck yourself.
1085,stop calling over here.
1086,Please take me over your calling list.
1087,"don't need anything,"
1088,"Why do you keep calling me? Why do you keep calling me? Every time I block you, find another number of calls."
1089,Put me on your no call list.
1090,Take me off your calling list.
1091,"No, I don't need it"
1092,you call me every day
1093,"I don't need,"
1094,"No, I should wouldn't"
1095,I don't talk to somebody about it
1096,I don't need any insurance mail.
1097,Please delete my number
1098,I don't need none of that stuff.
1099,I do not need access.
1100,I've done talk to 20 people a bit about that
1101,don't call me.
1102,we are at the restaurant. Now we are giving the business hour.
1103,"but no, thank you."
1104,I will contact if you do not quit calling this number or race this number.
1105,Please remove my name from your list.
1106,you guys stop calling. This is a business line.
1107,I fucking fuck you everybody.
1108,"Becky, would you quit calling me?"
1109,I cannot afford
1110,", I'm not interested."
1111,take me off and calling Leah.
1112,please stop calling in.
1113,Quit calling me all the time.
1114,Please don't call anymore.
1115,Would you please take me off of your call list? I'm tired of getting these phone calls.
1116,You are about the third time someone has called your company. Please take our name off your list.
1117,"I've already talked with somebody. I've asked you all to take me off your call list and stop calling me, please."
1118,Please don't call here again.
1119,I don't need anything like that
1120,You've called a business.
1121,your calling the business.
1122,You have called a business.
1123,"I'm not interested, thanks"
1124,I don't want to do this
1125,Remove him from your
1126,. I'm not interested. Sorry.
1127,I'm not needing nothing.
1128,Is this a real person or a fucking computer
1129,I'm not interested in any.
1130,I've received this call many times
1131,please take me off the list.
1132,quit fucking calling me
1133,"No, no, no, no, no, no. I don't want it."
1134,You can take this phone number off your list
1135,Your bothering me.
1136,I'm tired of getting phone calls.
1137,you really need to stop calling me.
1138,Please take this number off of your list
1139,we're not interested
1140,I have asked you guys several times to stop calling me.
1141,Why don't you go fuck yourself with what these fucking calls I myself on your fucking cost?
1142,could you take us off the list?
1143,This is a business office.
1144,please quit calling.
1145,thank you for calling Usmania Fine Dining
1146,never call me again
1147,Same as I was last time you called.
1148,Is this a spam call
1149,I don't need your money.
1150,I can tell them to go fuck himself.
1151,you need to take my name off your list.
1152,You call me a dozen times and I've asked her not to keep calling.
1153,I don't need that.
1154,We don't need anything.
1155,you guys will stop calling me.
1156,I'm not interested in all of you
1157,Don't need anything.
1158,Fuck off.
1159,I don't want to talk to you
1160,I'm not interested in that.
1161,Thanks for fucking talking about me.
1162,So I don't really need to get in
1163,"no, I don't have to."
1164,No. No.
1165,I wish everybody would stop calling me.
1166,I want you to take me off your fucking call-in list.
1167,". I'm just talking about your do not call list, please."
1168,Please set me off your list.
1169,But take me off the list
1170,Take my name off your list.
1171,I hope I care about myself.
1172,Can you take me off the call list?
1173,I don't need
1174,Please don't call me again
1175,can you please take me off your call list
1176,I'll take the action off you.
1177,we are a business. So if you could take us off the
1178,Can I please be taking off the calling list?
1179,Put me on your D not call list.
1180,you need to stop calling.
1181,You know what? I don't want to do this
1182,I don't need any help.
1183,Stop fucking calling my goddamn phone.
1184,I don't want anything else.
1185,You called the hospital
1186,I'm tired of these pain calls.
1187,You're a line sack of shit scammer.
1188,"No, I don't want"
1189,I don't think about it.
1190,Could you delete my number?
1191,"Never mind, no"
1192,I'm worth a shit. I'm still alive and kicking.
1193,". I don't need insurance,"
1194,You'll call me like five million times.
1195,Why don't you take me off your call list?
1196,please don't call Sam on the phone.
1197,I don't need any insurance.
1198,Take me off of the list
1199,damn list.
1200,Fuck you guys. Stop calling.
1201,"Can you remove our number from your listing,"
1202,No ma'am.
1203,I have no help.
1204,we're not interested at all
1205,We don't want to talk to you.
1206,Would you please don't bother me again?
1207,"I didn't want... No, no, no, no. I don't want"
1208,Please kill yourself.
1209,I would be doing better if you would take me off your call list.
1210,I think we have the wrong numbers here. Sorry.
1211,I don't want you to take any information
1212,I think you got the wrong number.
1213,"no, I don't need you"
1214,Please don't ever call me anymore
1215,You call me about two times a day.
1216,I don't know why you guys keep calling me
1217,I wish I could quit calling me six times a day.
1218,Stop calling me. Fuck off.
1219,Can you guys please stop calling me?
1220,motherfucker
1221,Don't call my phone anymore.
1222,"No, Mom, thank you."
1223,you're calling an elementary school.
1224,put me on a no-call list.
1225,I don't need anything
1226,Please don't call me back.
1227,You've called the commercial number. Can you please take the number off your list
1228,I don't need you.
1229,I don't need any other.
1230,"No, no. I'm sorry."
1231,but I'm not interested right now
1232,Quick calling me
1233,you got to stop calling me
1234,"No, no, no. I don't need all of that"
1235,Five people call me to while you want over the same thing they don't tell you
1236,You can take me off your list.
1237,Are you fucking idiot?
1238,I'm not.
1239,"No, thank you."
1240,Will you please quit calling me
1241,I'm not taking out any more insurance.
1242,please don't call again
1243,Y'all quit calling me
1244,I have got this call so many times and it's so annoying.
1245,I'm not interested. I'm not interested
1246,I don't need to talk to you all.
1247,I'm not interested right now.
1248,I'm all shit.
1249,So take my name off your list.
1250,
1251,Take me off your call.
1252,you've called me already today
1253,You can take me off
1254,You took my number of slides last.
1255,"No, be honest with you. I don't need anything."
1256,Is there a way I can be taken off? Is there a way I can be taken off?
1257,How many times are you going to call me?
1258,quick calling here. 
1259,you're calling to another main treat school.
1260,"I'd like you to stop calling me,"
1261,You take my name off your list.
1262,Put me on no call list.
1263,pussy
1264,this is a do not call number.
1265,I don't need an insurance
1266,I don't need your
1267,I already got this shit done.
1268,can I opt out of having this phone call?
1269,Please take us off the list.
1270,Would you please not call my number again
1271,stop ringing me.
1272,don't call no more.
1273,I'm not interested in further insurance.
1274,I'm not ready
1275,Can you take me off your list
1276,I don't need any
1277,Please quit calling. Please quit calling.
1278,Take me off
1279,put me on a do not call this.
1280,I'm not interested 
1281,y'all keep calling.
1282,We're not interested. Thank you.
1283,I'm not
1284,don't bother calling me.
1285,"No, I am. No,"
1286,Why would I be getting these calls every two minutes?
1287,take me off your calling list
1288,"Oh, Jesus fucking Christ."
1289,Quit calling me.
1290,but I don't need any of that. And I wish you could get me off the list somehow. Thank you.
1291,I don't need to.
1292,I don't need any lab insurance
1293,I don't think I was interested.
1294,"Ma'am, what the hell is this gonna keep on bothering me? Please don't bother me on my word."
1295,You have a wrong number
1296,"I mean, why do you all even call me"
1297,"No, I wouldn't."
1298,please remove my number from your call list.
1299,But you don't need to call me no more
1300,I really don't need anything else.
1301,I keep people don't call me anymore.
1302,Can you please remove my name?
1303,I'm going to go fuck yourself.
1304,"No, I'm not ready"
1305,Don't call me anymore.
1306,quick calling
1307,I don't need your insurance
1308,fuck off
1309,This is a business line.
1310,would you come take the number out?
1311,do not want no life insurance
1312,Don't call me no more
1313,And you go fuck yourself James?
1314,I'm not interested in thank you.
1315,Y'all done called 15 times this morning.
1316,You realize you're calling Erie Insurance with this scam
1317,"Take me off your call list,"
1318,"I'm not only no fucking fixed income. I work my ass off every day, put me on a do not call you."
1319,I don't need them.
