Text,Disposition
that already called me today,DNC
fuck.,DNC
your calling list.,DNC
just take me off that,DNC
Put me on your D not call list.,DNC
don't call here.,DNC
Stop calling me with this shit.,DNC
why you keep calling me.,DNC
How about y'all quit fucking calling me?,DNC
don't call no more.,DNC
Please take me off your list.,DNC
This is a business.,DNC
take me off the call-up please,DNC
This number is on the national do not call,DNC
"Why do you keep calling me? Why do you keep calling me? Every time I block you, find another number of calls.",DNC
taking her off your calling list.,DNC
What the fuck,DNC
Please remove it from your,DNC
Don't call here. No more. Don't call here.,DNC
fuck off.,DNC
fuck this shit,DNC
this is a do not call number.,DNC
I wish you would stop calling.,DNC
"Can you get me up the list, please?",DNC
Don't fucking call my motherfucking phone again,DNC
Put me on your no call list.,DNC
put me on my do not call list.,DNC
Take me off your list,DNC
you're talking to the wrong person,DNC
fucking,DNC
take my number out this,DNC
How do I get removed from your call list?,DNC
this is the fifth time I've asked you guys to quit.,DNC
Please take us off your,DNC
You take me off your call list,DNC
Stop calling me,DNC
Could you take me off your mailing list?,DNC
"y'all just keep calling me, and I'm tired of it.",DNC
Can you take me off the call list?,DNC
I ain't a fucking senior.,DNC
keep getting calls from you all.,DNC
I've asked several times if you guys had quit calling me,DNC
can remove me from your call list.,DNC
Can you remove me from the call?,DNC
This is a business line. And I appreciate if you guys stop calling it.,DNC
Can you take me off your call list,DNC
None of you are fucking business.,DNC
stop calling.,DNC
How do I get off of this list?,DNC
take me off your list.,DNC
"Shut up, bitch.",DNC
wrong number.,DNC
Fuck off.,DNC
put me on a no-call list.,DNC
Could you please take me off your list?,DNC
"Becky, shut the fuck up",DNC
Fuck you,DNC
Can you guys stop calling this number please?,DNC
Don't call in my phone.,DNC
You must have a wrong number.,DNC
Can you please take me off the list?,DNC
"don't call me anymore,",DNC
We... You call the business,DNC
Stop fucking calling my goddamn phone.,DNC
"Remove my number from your list, please.",DNC
Please take me off this list.,DNC
you guys stop calling. This is a business line.,DNC
Can you delete this number?,DNC
take me off of your call list,DNC
Shut up.,DNC
Take me off your list,DNC
How do you take me off of your call list,DNC
you removed me from your list,DNC
Please take me off your list.,DNC
My name and number off of your list.,DNC
Thank you so much for connecting with the Unlule Insurance Coats on our recorded line.,DNC
can you take me off the list,DNC
"Well, stop calling. Well, stop calling.",DNC
you don't call here anymore.,DNC
Can you guys please stop calling me?,DNC
pussy,DNC
"Fuck y'all,",DNC
Stop calling people. You're really annoying.,DNC
Who the fuck are you?,DNC
Why don't you go fuck yourself with what these fucking calls I myself on your fucking cost?,DNC
shit,DNC
Please don't call me again.,DNC
Put me on your no call list.,DNC
Fuck off,DNC
And I would also guarantee we go through this like three times a week. And I have repeatedly asked to be moved from your,DNC
So if you can please remove it from your,DNC
Y'all are scammers. Stop calling me.,DNC
if you took me off your call list,DNC
Take me off your,DNC
Stop calling.,DNC
Can you put me on the,DNC
Is there any way y'all could take my number out this,DNC
You've been calling me every day.,DNC
I don't need any shit.,DNC
I asked you guys to stop calling my numbers.,DNC
can you remove me from this list,DNC
Please take me off your call list.,DNC
Can you take me off your list?,DNC
we are at the restaurant. Now we are giving the business hour.,DNC
Why do you keep calling me? I don't want you to call me.,DNC
". I'm just talking about your do not call list, please.",DNC
Stop calling me,DNC
I've asked you guys not to call me anymore. So could you not call me anymore?,DNC
Is there a way I can be taken off? Is there a way I can be taken off?,DNC
